Date,Inflation rate
Jan-13,2.70
Feb-13,2.80
Mar-13,2.80
Apr-13,2.40
May-13,2.70
Jun-13,2.90
Jul-13,2.80
Aug-13,2.70
Sep-13,2.70
Oct-13,2.20
Nov-13,2.10
Dec-13,2
Jan-14,1.90
Feb-14,1.70
Mar-14,1.60
Apr-14,1.80
May-14,1.50
Jun-14,1.90
Jul-14,1.60
Aug-14,1.50
Sep-14,1.20
Oct-14,1.30
Nov-14,1
Dec-14,0.50
Jan-15,0.30
Feb-15,0
Mar-15,0
Apr-15,-0.10
May-15,0.10
Jun-15,0
Jul-15,0.10
Aug-15,0
Sep-15,-0.10
Oct-15,-0.10
Nov-15,0.10
Dec-15,0.20
Jan-16,0.30
Feb-16,0.30
Mar-16,0.50
Apr-16,0.30
May-16,0.30
Jun-16,0.50
Jul-16,0.60
Aug-16,0.60
Sep-16,1
Oct-16,0.90
Nov-16,1.20
Dec-16,1.60
Jan-17,1.80
Feb-17,2.30
Mar-17,2.30
Apr-17,2.70
May-17,2.90
Jun-17,2.60
Jul-17,2.60
Aug-17,2.90
Sep-17,3
Oct-17,3
Nov-17,3.10
Dec-17,3
Jan-18,3
Feb-18,2.70
Mar-18,2.50
Apr-18,2.40
May-18,2.40
Jun-18,2.40
Jul-18,2.50
Aug-18,2.70
Sep-18,2.40
Oct-18,2.40
Nov-18,2.30
Dec-18,2.10
Jan-19,1.80
Feb-19,1.90
Mar-19,1.90
Apr-19,2.10
May-19,2
Jun-19,2
Jul-19,2.10
Aug-19,1.70
Sep-19,1.70
Oct-19,1.50
Nov-19,1.50
Dec-19,1.30
Jan-20,1.80
Feb-20,1.70
Mar-20,1.50
Apr-20,0.80
May-20,0.50
Jun-20,0.60
Jul-20,1
Aug-20,0.20
Sep-20,0.50
Oct-20,0.70
Nov-20,0.30
Dec-20,0.60
Jan-21,0.70
Feb-21,0.40
Mar-21,0.70
Apr-21,1.50
May-21,2.10
Jun-21,2.50
Jul-21,2
Aug-21,3.20
Sep-21,3.10
Oct-21,4.20
Nov-21,5.10
Dec-21,5.40
Jan-22,5.50
Feb-22,6.20
Mar-22,7
Apr-22,9
May-22,9.10
Jun-22,9.40
Jul-22,10.10
Aug-22,9.90
Sep-22,10.10
Oct-22,11.10
Nov-22,10.70
